Id,LotFrontage,LotArea,LotShape,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,GrLivArea,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice,TotalSF,TotalFinishedBsmt,TotalBath,OutdoorFeatureSF
1,65.0,8450,Reg,CollgCr,2Story,7,5,5,VinylSd,VinylSd,BrkFace,196.0,4,PConc,4,1,6,5,1710,4,8,0,0,Attchd,5.0,2,2,548,208500,3114,706,3.5,61
2,80.0,9600,Reg,Veenker,1Story,6,31,31,MetalSd,MetalSd,None,0.0,3,CBlock,4,4,5,5,1262,3,6,1,3,Attchd,31.0,2,2,460,181500,2984,978,2.5,298
3,68.0,11250,IR1,CollgCr,2Story,7,7,6,VinylSd,VinylSd,BrkFace,162.0,4,PConc,4,2,6,5,1786,4,6,1,3,Attchd,7.0,2,2,608,223500,3314,486,3.5,42
4,60.0,9550,IR1,Crawfor,2Story,7,91,36,Wd Sdng,Wd Shng,None,0.0,3,BrkTil,3,1,5,4,1717,4,7,1,4,Detchd,8.0,1,3,642,140000,3115,216,2.0,307
5,84.0,14260,IR1,NoRidge,2Story,8,8,8,VinylSd,VinylSd,BrkFace,350.0,4,PConc,4,3,6,5,2198,4,9,1,3,Attchd,8.0,2,3,836,250000,4179,655,3.5,276
6,85.0,14115,IR1,Mitchel,1.5Fin,5,16,14,VinylSd,VinylSd,None,0.0,3,Wood,4,1,6,5,1362,3,5,0,0,Attchd,16.0,1,2,480,143000,2638,732,2.5,390
7,75.0,10084,Reg,Somerst,1Story,8,3,2,VinylSd,VinylSd,Stone,186.0,4,PConc,5,3,6,5,1694,4,7,1,4,Attchd,3.0,2,2,636,307000,4016,1369,3.0,312
9,51.0,6120,Reg,OldTown,1.5Fin,7,77,58,BrkFace,Wd Shng,None,0.0,3,BrkTil,3,1,1,4,1774,3,8,2,3,Detchd,77.0,1,2,468,129900,3194,0,2.0,295
10,50.0,7420,Reg,BrkSide,1.5Unf,5,69,58,MetalSd,MetalSd,None,0.0,3,BrkTil,3,1,6,5,1077,3,5,2,3,Attchd,69.0,2,1,205,118000,2273,851,2.0,4
11,70.0,11200,Reg,Sawyer,1Story,5,43,43,HdBoard,HdBoard,None,0.0,3,CBlock,3,1,3,5,1040,3,5,0,0,Detchd,43.0,1,1,384,129500,2464,906,2.0,0
12,85.0,11924,IR1,NridgHt,2Story,9,1,0,WdShing,Wd Shng,Stone,286.0,5,PConc,5,1,6,5,2324,5,11,2,4,BuiltIn,1.0,3,3,736,345000,4235,998,4.0,168
13,69.0,12968,IR2,Sawyer,1Story,5,46,46,HdBoard,Plywood,None,0.0,3,CBlock,3,1,5,3,912,3,4,0,0,Detchd,46.0,1,1,352,144000,2176,737,2.0,316
14,91.0,10652,IR1,CollgCr,1Story,7,1,0,VinylSd,VinylSd,Stone,306.0,4,PConc,4,3,1,5,1494,4,7,1,4,Attchd,1.0,2,3,840,279500,3828,0,2.0,193
15,69.0,10920,IR1,NAmes,1Story,6,48,48,MetalSd,MetalSd,BrkFace,212.0,3,CBlock,3,1,4,3,1253,3,5,1,2,Attchd,48.0,2,1,352,157000,2858,733,2.5,389
16,51.0,6120,Reg,BrkSide,1.5Unf,7,78,6,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,1,1,5,854,3,5,0,0,Detchd,16.0,1,2,576,132000,2262,0,1.0,160
17,69.0,11241,IR1,NAmes,1Story,6,40,40,Wd Sdng,Wd Sdng,BrkFace,180.0,3,CBlock,3,1,5,5,1004,3,5,1,3,Attchd,40.0,3,2,480,149000,2488,578,2.0,0
18,72.0,10791,Reg,Sawyer,1Story,4,39,39,MetalSd,MetalSd,None,0.0,3,Slab,0,0,0,3,1296,3,6,0,0,CarPort,39.0,1,2,516,90000,1812,0,2.0,0
19,66.0,13695,Reg,SawyerW,1Story,5,4,4,VinylSd,VinylSd,None,0.0,3,PConc,3,1,6,5,1114,4,6,0,0,Detchd,4.0,1,2,576,159000,2804,646,2.5,102
20,70.0,7560,Reg,NAmes,1Story,5,51,44,BrkFace,Plywood,None,0.0,3,CBlock,3,1,2,3,1339,3,6,0,0,Attchd,51.0,1,1,294,139000,2662,504,1.0,0
21,101.0,14215,IR1,NridgHt,2Story,8,1,0,VinylSd,VinylSd,BrkFace,380.0,4,PConc,5,3,1,5,2376,4,9,1,4,BuiltIn,1.0,2,3,853,325300,4387,0,3.5,394
22,57.0,7449,Reg,IDOTRR,1.5Unf,7,77,57,Wd Sdng,Wd Sdng,None,0.0,3,PConc,3,1,1,5,1108,4,6,1,4,Attchd,77.0,1,1,280,139400,2025,0,1.0,205
23,75.0,9742,Reg,CollgCr,1Story,8,6,6,VinylSd,VinylSd,BrkFace,281.0,4,PConc,4,1,1,5,1795,4,7,1,4,Attchd,6.0,2,2,534,230000,4106,0,2.0,330
24,44.0,4224,Reg,MeadowV,1Story,5,31,31,CemntBd,CmentBd,None,0.0,3,PConc,4,1,6,3,1060,3,6,1,3,Attchd,31.0,1,2,572,129900,2672,840,2.0,210
26,110.0,14230,Reg,NridgHt,1Story,8,2,2,VinylSd,VinylSd,Stone,640.0,4,PConc,4,1,1,5,1600,4,7,1,4,Attchd,2.0,2,3,890,256300,4056,0,2.0,56
27,60.0,7200,Reg,NAmes,1Story,5,59,10,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,2,4,3,900,4,5,0,0,Detchd,5.0,1,2,576,134800,2376,720,1.5,254
